sequence_id,source_file,frame_start,frame_end,frames,fps,duration_s,root_path_m,root_mean_speed_mps,root_yaw_range_rad,wrist_range_m,contact_transitions,eligible,rejection_reason
aiming1_subject1_f000000_000600,data/lafan1/aiming1_subject1.bvh,0,600,600,30.000300003000028,19.9998,4.983095702202217,0.24957323206966042,4.415956282394977,2.3784545958835133,66,False,semantic_exclusion
aiming1_subject1_f000300_000900,data/lafan1/aiming1_subject1.bvh,300,900,600,30.000300003000028,19.9998,7.0057989503220375,0.3508782475298227,5.5263101190729955,4.3331265377720065,77,False,semantic_exclusion
aiming1_subject1_f000600_001200,data/lafan1/aiming1_subject1.bvh,600,1200,600,30.000300003000028,19.9998,5.00140620073026,0.2504902945889355,3.846318799664926,2.6222402427399434,69,False,semantic_exclusion
aiming1_subject1_f000900_001500,data/lafan1/aiming1_subject1.bvh,900,1500,600,30.000300003000028,19.9998,2.4798103736206363,0.12419875652616139,5.270046584381161,0.7906577629298639,61,False,semantic_exclusion
aiming1_subject1_f001200_001800,data/lafan1/aiming1_subject1.bvh,1200,1800,600,30.000300003000028,19.9998,9.010168573713234,0.4512650422186976,10.382549962977322,5.166527515020762,58,False,semantic_exclusion
aiming1_subject1_f001500_002100,data/lafan1/aiming1_subject1.bvh,1500,2100,600,30.000300003000028,19.9998,17.939340004234587,0.8984734256808973,7.734291650748583,8.724862456055996,43,False,semantic_exclusion
aiming1_subject1_f001800_002400,data/lafan1/aiming1_subject1.bvh,1800,2400,600,30.000300003000028,19.9998,17.03759597607027,0.8533105018564512,12.592169333879362,9.57297350135116,46,False,semantic_exclusion
aiming1_subject1_f002100_002700,data/lafan1/aiming1_subject1.bvh,2100,2700,600,30.000300003000028,19.9998,16.65018315290097,0.8339073283671552,23.986547879124444,7.918351492056353,52,False,semantic_exclusion
aiming1_subject1_f002400_003000,data/lafan1/aiming1_subject1.bvh,2400,3000,600,30.000300003000028,19.9998,16.36758305151701,0.8197535924366093,14.37243437370278,8.414110715955415,46,False,semantic_exclusion
aiming1_subject1_f002700_003300,data/lafan1/aiming1_subject1.bvh,2700,3300,600,30.000300003000028,19.9998,11.580006290193321,0.5799727257803456,25.344917234042992,4.618247093226161,66,False,semantic_exclusion
aiming1_subject1_f003000_003600,data/lafan1/aiming1_subject1.bvh,3000,3600,600,30.000300003000028,19.9998,11.498920523425035,0.5759116284030137,15.283446596040285,4.9450406579022275,69,False,semantic_exclusion
aiming1_subject1_f003300_003900,data/lafan1/aiming1_subject1.bvh,3300,3900,600,30.000300003000028,19.9998,12.915759988144433,0.6468725783156546,3.576270651882791,6.436793538966352,54,False,semantic_exclusion
aiming1_subject1_f003600_004200,data/lafan1/aiming1_subject1.bvh,3600,4200,600,30.000300003000028,19.9998,15.82054836449004,0.7923559217807558,11.642329553004627,5.485559000575651,57,False,semantic_exclusion
aiming1_subject1_f003900_004500,data/lafan1/aiming1_subject1.bvh,3900,4500,600,30.000300003000028,19.9998,14.457564652148823,0.7240922819319424,11.967200334201802,5.189773789313355,70,False,semantic_exclusion
aiming1_subject1_f004200_004800,data/lafan1/aiming1_subject1.bvh,4200,4800,600,30.000300003000028,19.9998,7.509830861711066,0.3761221683190654,4.183648949449817,2.2875035436714946,70,False,semantic_exclusion
aiming1_subject1_f004500_005100,data/lafan1/aiming1_subject1.bvh,4500,5100,600,30.000300003000028,19.9998,9.4699131341822,0.4742908765072058,5.414792329435378,6.59809219509753,75,False,semantic_exclusion
aiming1_subject1_f004800_005400,data/lafan1/aiming1_subject1.bvh,4800,5400,600,30.000300003000028,19.9998,14.052307298773826,0.7037953834683836,4.791911860939965,6.902100594450875,67,False,semantic_exclusion
aiming1_subject1_f005100_005700,data/lafan1/aiming1_subject1.bvh,5100,5700,600,30.000300003000028,19.9998,19.55863577842941,0.9795741919904711,8.180657386944148,5.862258313708581,41,False,semantic_exclusion
